Month,Return
202603,-0.020450514
202602,-0.013862759
202601,-0.050667419
202512,0.029185075
202511,0.011185026
202510,-0.013637826
202509,0.04648423
202508,0.022368285
202507,0.021836979
202506,0.098161878
202505,0.085877222
202504,-0.002801589
202503,-0.073097942
202502,-0.004821415
202501,0.115096774
202412,-0.040089179
202411,0.132192773
202410,0.052442564
202409,-0.062018366
202408,0.06225185
202407,0.052140278
202406,-0.001853186
202405,0.062982216
202404,-0.042742654
202403,0.07651968
202402,0.073681661
202401,0.025072922
202312,0.089820764
202311,0.130697461
202310,-0.04113808
202309,-0.008938953
202308,-0.067245119
202307,0.086063462
202306,0.071721635
202305,-0.010616706
202304,0.060869565
202303,-0.091011743
202302,0.031847134
202301,0.043696798
202212,-0.029580678
202211,0.107519387
202210,0.204681432
202209,-0.081203588
202208,-0.005371703
202207,0.024368674
202206,-0.148368201
202205,0.116092276
202204,-0.124458255
202203,-0.038600629
202202,-0.040072447
202201,-0.061543909
202112,-0.00303608
202111,-0.059499303
202110,0.037907506
202109,0.023346029
202108,0.059958134
202107,-0.024219434
202106,-0.05298791
202105,0.07413179
202104,0.010346379
202103,0.034434621
202102,0.151969981
202101,0.012574634
202012,0.078018334
202011,0.213491124
202010,0.0184404
202009,-0.039143023
202008,0.046793551
202007,0.027400673
202006,-0.033349386
202005,0.026699629
202004,0.063633973
202003,-0.224589663
202002,-0.11710171
202001,-0.050508504
201912,0.0579566
201911,0.063257066
201910,0.061428571
201909,0.071272409
201908,-0.046288574
201907,0.037646041
201906,0.055010272
201905,-0.079911793
201904,0.146382569
201903,-0.030009341
201902,0.016498516
201901,0.060281903
201812,-0.122085957
201811,0.027122106
201810,-0.033877864
201809,-0.015223494
201808,0.002272481
201807,0.103139549
201806,-0.026269906
201805,-0.011263073
