Month,Return
20263,-0.0776
20262,-0.0776
20261,0.0806
202512,-0.0224
202511,0.1387
202510,0.1577
20259,0.1418
20258,0.1095
20257,0.0903
20256,0.0261
20255,0.0815
20254,0.0281
20253,-0.0919
20252,-0.1654
20251,0.0790
202412,0.1204
202411,-0.0126
202410,0.0331
20249,0.0151
20248,-0.0476
20247,-0.0572
20246,0.0559
20245,0.0597
20244,0.0786
20243,0.0900
20242,-0.0117
20241,0.0030
202312,0.0540
202311,0.0681
202310,-0.0519
20239,-0.0389
20238,0.0260
20237,0.1087
20236,-0.0258
20235,0.1447
20234,0.0348
20233,0.1518
20232,-0.0889
20231,0.1202
202212,-0.1263
202211,0.0685
202210,-0.0119
20229,-0.1161
20228,-0.0697
20227,0.0675
20226,-0.0422
20225,-0.0030
20224,-0.1795
20223,0.0297
20222,-0.0018
20221,-0.0659
202112,0.0208
202111,-0.0415
202110,0.1075
20219,-0.0762
20218,0.0740
20217,0.1035
20216,0.0360
20215,0.0015
20214,0.1411
20213,0.0200
20212,0.1065
20211,0.0427
202012,-0.0010
202011,0.0856
202010,0.1026
20209,-0.1006
20208,0.0951
20207,0.0493
20206,-0.0108
20205,0.0645
20204,0.1590
20203,-0.1324
20202,-0.0653
20201,0.0697
201912,0.0271
201911,0.0360
201910,0.0307
20199,0.0257
20198,-0.0227
20197,0.1250
20196,-0.0213
20195,-0.0772
20194,0.0188
20193,0.0446
20192,0.0007
20191,0.0774
201812,-0.0583
201811,0.0176
201810,-0.0966
20189,-0.0201
20188,0.0038
20187,0.0868
20186,0.0266
20185,0.0800
