Month,Return
20263,-7.76%
20262,-7.76%
20261,8.06%
202512,-2.24%
202511,13.87%
202510,15.77%
20259,14.18%
20258,10.95%
20257,9.03%
20256,2.61%
20255,8.15%
20254,2.81%
20253,-9.19%
20252,-16.54%
20251,7.90%
202412,12.04%
202411,-1.26%
202410,3.31%
20249,1.51%
20248,-4.76%
20247,-5.72%
20246,5.59%
20245,5.97%
20244,7.86%
20243,9.00%
20242,-1.17%
20241,0.30%
202312,5.40%
202311,6.81%
202310,-5.19%
20239,-3.89%
20238,2.60%
20237,10.87%
20236,-2.58%
20235,14.47%
20234,3.48%
20233,15.18%
20232,-8.89%
20231,12.02%
202212,-12.63%
202211,6.85%
202210,-1.19%
20229,-11.61%
20228,-6.97%
20227,6.75%
20226,-4.22%
20225,-0.30%
20224,-17.95%
20223,2.97%
20222,-0.18%
20221,-6.59%
202112,2.08%
202111,-4.15%
202110,10.75%
20219,-7.62%
20218,7.40%
20217,10.35%
20216,3.60%
20215,0.15%
20214,14.11%
20213,2.00%
20212,10.65%
20211,4.27%
202012,-0.10%
202011,8.56%
202010,10.26%
20209,-10.06%
20208,9.51%
20207,4.93%
20206,-1.08%
20205,6.45%
20204,15.90%
20203,-13.24%
20202,-6.53%
20201,6.97%
201912,2.71%
201911,3.60%
201910,3.07%
20199,2.57%
20198,-2.27%
20197,12.50%
20196,-2.13%
20195,-7.72%
20194,1.88%
20193,4.46%
20192,0.07%
20191,7.74%
201812,-5.83%
201811,1.76%
201810,-9.66%
20189,-2.01%
20188,0.38%
20187,8.68%
20186,2.66%
20185,8.00%
